Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message
0.045787,1000,,,,0.002734375,0.009765625,-1.025390625,0.000156703,-0.001821784,22.63736572,0.044289885,0,0,1.002606929,0,0,0,0,0.06328125,
0.047746,1000,,,,0,0.00859375,-1.02578125,0.000201877,-0.003009317,22.63708687,0.048114755,0,0,1.089178293,0,0,0,0,0.0625,
0.163319,1000,,,,0,0.008984375,-1.02578125,0.000141922,-0.003949447,22.63758812,0.050102758,0,0,1.134204678,0,0,0,0,0.06171875,
0.277866,1000,,,,0,0.009765625,-1.02578125,0.000197277,-0.005377635,22.63760109,0.048393773,0,0,1.095517937,0,0,0,0,0.060546875,
0.401563,1000,,,,0,0.008984375,-1.0265625,0.00019402,-0.002728177,22.63648415,0.045789607,0,0,1.036513856,0,0,0,0,0.060546875,
0.527544,1000,,,,0,0.008984375,-1.026953125,0.000157914,-0.002885615,22.63608055,0.048854223,0,0,1.105870834,0,0,0,0,0.060546875,
0.650392,1000,,,,0,0.01015625,-1.0265625,0.0000559151,-0.003004818,22.63662376,0.047231199,0,0,1.069153827,0,0,0,0,0.059765625,
0.775273,1000,,,,0,0.00859375,-1.02578125,0.000127865,-0.006698597,22.63723488,0.04694443,0,0,1.062691811,0,0,0,0,0.05859375,
0.90222,1000,,,,0,0.01015625,-1.02578125,0.000130069,-0.002103654,22.63685684,0.045793481,0,0,1.036622067,0,0,0,0,0.05859375,
1.025643,1000,,,,0,0.009765625,-1.025390625,0.000170145,-0.006124342,22.63614578,0.047588426,0,0,1.077219255,0,0,0,0,0.05859375,
1.150825,1000,,,,0,0.009375,-1.026953125,0.000120599,-0.000959641,22.63691254,0.048126381,0,0,1.089435467,0,0,0,0,0.05859375,
1.274621,1000,,,,0,0.009375,-1.02578125,0.000179858,-0.001443201,22.6378006,0.050242266,0,0,1.13737438,0,0,0,0,0.05859375,
1.399435,1000,,,,0,0.0109375,-1.02578125,0.000139873,-0.004183355,22.63652191,0.053090574,0,0,1.201786931,0,0,0,0,0.05859375,
1.525752,1000,,,,0,0.009375,-1.025390625,0.000082076,-0.001897523,22.63778496,0.049531546,0,0,1.121284262,0,0,0,0,0.05859375,
1.648481,1000,,,,0,0.009375,-1.0265625,0.000102043,-0.001232515,22.63624611,0.047607098,0,0,1.077642141,0,0,0,0,0.05859375,
1.773276,1000,,,,0,0.008984375,-1.025,0.000138342,-0.006241296,22.63705711,0.046661537,0,0,1.056279383,0,0,0,0,0.05859375,
1.898626,1000,,,,0,0.009765625,-1.02578125,0.000160142,-0.004001177,22.63756142,0.043154438,0,0,0.976908947,0,0,0,0,0.05859375,
2.026229,1000,,,,0,0.008203125,-1.025390625,0.000138458,-0.005351377,22.6370594,0.044875823,0,0,1.015855024,0,0,0,0,0.05859375,
2.151824,1000,,,,0,0.01015625,-1.0265625,0.000128067,-0.004580717,22.63843155,0.046560781,0,0,1.05406238,0,0,0,0,0.05859375,
2.277758,1000,,,,0,0.01015625,-1.026171875,0.000203832,-0.002061708,22.63793373,0.046932805,0,0,1.062459529,0,0,0,0,0.05859375,
2.401465,1000,,,,0,0.009375,-1.026171875,0.000132421,-0.002961354,22.63696098,0.049237802,0,0,1.114591574,0,0,0,0,0.05859375,
2.527113,1000,,,,0,0.009765625,-1.02578125,0.00022556,-0.005795971,22.63752327,0.048614662,0,0,1.100515595,0,0,0,0,0.05859375,
2.650925,1000,,,,0,0.00859375,-1.02578125,0.000208033,-0.005753238,22.63773575,0.047080064,0,0,1.065787522,0,0,0,0,0.05859375,
2.777654,1000,,,,0,0.009765625,-1.026953125,0.000159218,-0.005067988,22.63722076,0.047312579,0,0,1.071029441,0,0,0,0,0.05859375,
2.900916,1080.631225,,,,0,0.0109375,-1.026171875,0.000165118,-0.006470706,22.6362339,0.074697019,0,0,1.690703764,0,0,0,0,0.05859375,
3.025937,1103.522925,,,,-0.017578125,0.024609375,-1.02421875,-0.010392916,-0.02031851,22.61040764,0.449491629,246,0,10.15981688,0,0,0,0,0.07265625,
3.144504,1106.485,,,,-0.012109375,0.0359375,-1.01171875,-0.001319618,-0.102744098,22.6212574,0.263167769,1146,0,5.95318234,0,0,0,0,0.087109375,
