ESC signal (µs);Torque (N·m);Thrust (N);Voltage (V);Current (A);Motor Electrical Speed (RPM)
1000;0.000260225;-0.112466266;24.92807264;-0.001948957;0
1000;0.000321545;-0.115857201;24.92777042;-0.002095336;0
1000;0.0003146;-0.113793638;24.92801075;-0.003402211;0
1000;0.000271267;-0.115180021;24.92752581;-0.001908496;0
1000;0.000318651;-0.113909271;24.9276248;-0.003007517;0
1000;0.000336329;-0.115037005;24.92767735;-0.002261338;0
1000;0.000282849;-0.115994763;24.92696886;0.000682301;0
1000;0.000258882;-0.117493602;24.927456;-0.00240976;0
1000;0.000320479;-0.11251465;24.92703648;-0.002172788;0
1000;0.000336831;-0.114774449;24.92731409;-0.003252432;0
1000;0.000336386;-0.115104113;24.92703209;-0.003173571;0
1000.09134;0.000302569;-0.114055997;24.92725439;-0.003136369;0
1008.024053;0.000276927;-0.116229992;24.92761307;-0.003548114;0
1020.749127;0.000261643;-0.119072678;24.92769604;-0.00143901;0
1033.515973;0.000288092;-0.117044734;24.92739859;-0.000619395;0
1046.60676;0.001548049;-0.118536826;24.92489643;0.04618401;0
1059.79638;0.004636117;-0.155575824;24.92608356;0.031013479;0
1072.989973;0.002798113;-0.157391619;24.92409983;0.066686881;0
1086.05642;0.005625452;-0.221353093;24.92051744;0.121994421;0
1099.15884;0.007547237;-0.286392821;24.91766224;0.186475642;0
1112.18152;0.006819637;-0.355094685;24.91308012;0.259686536;0
1125.20096;0.00600895;-0.425841361;24.90769749;0.341004837;0
1138.22388;0.004644474;-0.505402518;24.90238457;0.425456858;0
1151.31586;0.004566463;-0.581896429;24.89612179;0.523921579;0
1164.314013;0.001992046;-0.670177969;24.88834238;0.640197623;0
1177.300187;0.000602092;-0.768873477;24.87960434;0.758993933;0
1190.329133;-0.000236985;-0.858952426;24.87110138;0.902228621;0
1203.354133;-0.00221085;-0.959538498;24.86038561;1.047928259;0
1216.316133;-0.004184663;-1.053803993;24.85033636;1.18887733;0
1229.143667;-0.006335173;-1.157913684;24.84097309;1.344720432;0
1242.218753;-0.008300438;-1.253565;24.83025761;1.495557085;0
1255.23524;-0.009698899;-1.365214851;24.8200737;1.654695222;0
1268.356147;-0.011199686;-1.465629245;24.80757284;1.829335693;0
1281.24862;-0.012807143;-1.58036581;24.79492941;2.012673679;0
1294.349147;-0.014965751;-1.699628538;24.77966461;2.248507211;0
1307.498253;-0.017518774;-1.853015973;24.76098967;2.506515131;0
1320.48318;-0.018944048;-2.019498882;24.74118938;2.799724946;0
1332.91212;-0.021268178;-2.175400828;24.72148523;3.071132741;0
1345.664267;-0.023334539;-2.341574105;24.70022001;3.381124983;0
1358.780987;-0.025605107;-2.527059609;24.67526979;3.714026711;0
1371.6602;-0.028006887;-2.731604682;24.64755774;4.14820852;0
1384.765933;-0.030492339;-2.926678904;24.62009106;4.525942025;0
1397.522207;-0.032816802;-3.128104263;24.59163647;4.944184932;0
1410.381953;-0.035375255;-3.343546483;24.55915956;5.355821571;0
1423.38322;-0.038074162;-3.562713239;24.52582045;5.799096164;0
1436.460687;-0.041332395;-3.797878516;24.49090214;6.293027553;0
1449.55132;-0.044142779;-4.024317039;24.45379534;6.787991652;0
1462.746633;-0.046601156;-4.235460447;24.4154788;7.347409854;0
1475.880147;-0.049605652;-4.470512333;24.37374973;7.929550609;0
1489.106127;-0.052748873;-4.685488611;24.32912846;8.502855763;0
1502.2597;-0.055419628;-4.91289875;24.28318806;9.147611127;0
1515.325507;-0.058516878;-5.144984425;24.23673716;9.758606658;0
1528.568833;-0.060925636;-5.37361396;24.18706236;10.41270297;0
1541.941207;-0.06396989;-5.619879935;24.13625879;11.09321006;0
1555.103313;-0.067490375;-5.882073584;24.08457928;11.77907332;0
1568.308787;-0.070398501;-6.1192342;24.02903252;12.54819129;0
1581.514747;-0.073130628;-6.354845178;23.97109041;13.2789182;0
1594.467153;-0.075876868;-6.571956614;23.91343546;14.03880361;0
1607.449627;-0.078698019;-6.805629983;23.85492916;14.80174979;0
1620.073067;-0.081794792;-7.062044152;23.7965457;15.54749616;0
1633.135227;-0.0834481;-7.305953055;23.73708658;16.34337824;0
1646.057073;-0.086585715;-7.516815141;23.67546062;17.15937398;0
1658.64754;-0.089650435;-7.732609151;23.61468496;17.95451053;0
1671.141313;-0.092632838;-7.940644851;23.55237236;18.77610916;0
1683.70526;-0.095064651;-8.159799237;23.49180279;19.61959566;0
1696.17492;-0.097263751;-8.403847958;23.43171101;20.47675498;0
1708.5926;-0.099752666;-8.632498672;23.3669591;21.33435214;0
1721.057607;-0.102704747;-8.797830035;23.29830332;22.23092569;0
1733.854793;-0.105250771;-9.037099948;23.22917547;23.17195505;0
1746.875387;-0.107971931;-9.268390561;23.1564126;24.18891462;0
1759.795907;-0.109937128;-9.476649865;23.08544903;25.14447998;0
1772.894913;-0.113298627;-9.723618501;23.00720348;26.22742103;0
1785.903307;-0.115765206;-9.87868639;22.9285244;27.28092617;0
1797.868213;-0.118480074;-10.07656153;22.85723639;28.22415594;0
1798.61464;-0.118574939;-10.0690178;22.81897001;28.28128665;0
1787.306633;-0.114804839;-9.844405946;22.83359718;27.22982629;0
1774.039713;-0.111162899;-9.516497249;22.86668148;25.9363211;0
1761.153067;-0.107867405;-9.261947407;22.90134506;24.76882165;0
1748.097387;-0.104354056;-8.953134095;22.93833675;23.64343427;0
1734.96846;-0.101464153;-8.688328468;22.97499495;22.62952064;0
1721.89656;-0.098509554;-8.441871506;23.01427469;21.6584493;0
1708.97726;-0.095999756;-8.224641057;23.05163193;20.72759012;0
1695.91446;-0.093290292;-7.936482863;23.09055853;19.75221046;0
1683.00268;-0.090100182;-7.691519314;23.12993336;18.82520622;0
1670.128753;-0.087725599;-7.488369073;23.16657305;18.03616594;0
1657.058913;-0.084077189;-7.258504399;23.20421591;17.11954826;0
1643.952147;-0.081376703;-7.026201304;23.24141426;16.30432328;0
1630.891333;-0.078034241;-6.805048959;23.27911377;15.48405641;0
1617.91824;-0.075082452;-6.599524593;23.31881609;14.68163885;0
1604.89888;-0.07248422;-6.364783457;23.35524359;13.9588673;0
1591.909027;-0.068825972;-6.161776035;23.39282246;13.16649993;0
1578.781493;-0.066322292;-5.924730497;23.42968559;12.43438977;0
1565.854167;-0.063644012;-5.711009413;23.46324644;11.77352632;0
1552.72618;-0.060937223;-5.515353036;23.49553108;11.08776048;0
1539.84354;-0.05862176;-5.323108945;23.52881317;10.44715918;0
1526.691107;-0.055871619;-5.119056808;23.56128674;9.824560771;0
1513.644353;-0.052787254;-4.93911088;23.59252272;9.253501353;0
1500.46066;-0.051032949;-4.692477175;23.62652388;8.61500195;0
1487.500993;-0.047384905;-4.467864186;23.65921373;8.04774805;0
1474.786693;-0.045149624;-4.27568888;23.6892931;7.510512743;0
1461.650207;-0.042343889;-4.067314502;23.71999989;6.949039206;0
1448.5176;-0.039694326;-3.837357242;23.74846563;6.454190383;0
1435.322047;-0.03747734;-3.620649894;23.77798367;5.948153195;0
1422.09524;-0.034267809;-3.409649678;23.80548372;5.52768105;0
1409.380873;-0.032181517;-3.251081406;23.83348322;5.073826036;0
1396.727187;-0.030117093;-3.007095287;23.8584321;4.670182047;0
1383.731167;-0.027123729;-2.811267041;23.88363762;4.245065031;0
1370.634973;-0.024385615;-2.625052071;23.90888605;3.846412632;0
1357.5954;-0.022081865;-2.439074207;23.93270273;3.521076772;0
1344.60936;-0.020080897;-2.252757472;23.95613604;3.20259336;0
1331.73456;-0.018349145;-2.111059071;23.97661715;2.906312177;0
1318.785887;-0.016299981;-1.963458794;23.99718943;2.624038133;0
1305.895673;-0.014383756;-1.837358375;24.01710548;2.36138148;0
1292.710907;-0.012310471;-1.686009581;24.03674212;2.116468796;0
1279.690127;-0.010452623;-1.577633135;24.05268507;1.922372636;0
1266.653153;-0.009080113;-1.463627715;24.06741142;1.752173689;0
1253.304993;-0.007941557;-1.361968815;24.08296671;1.587827334;0
1240.128013;-0.006687128;-1.264541063;24.09625244;1.431488976;0
1226.903947;-0.004417466;-1.16024939;24.10986261;1.280233398;0
1213.523873;-0.002210156;-1.061050081;24.12375612;1.125813964;0
1200.288707;-0.000393479;-0.965695452;24.13609562;0.977079526;0
1187.273927;0.00062572;-0.871044234;24.14799824;0.823324213;0
1174.143153;0.002276607;-0.784671447;24.15964556;0.696778477;0
1161.019153;0.004030439;-0.687142106;24.17089148;0.574995411;0
1148.006533;0.004922644;-0.601764006;24.18133678;0.477233465;0
1134.8361;0.006247671;-0.510397986;24.19178648;0.376286742;0
1121.8096;0.007248543;-0.439103833;24.20065145;0.298687323;0
1108.91238;0.008080501;-0.378327107;24.20937843;0.225807084;0
1095.662107;0.009268771;-0.314242494;24.21747684;0.16091935;0
1082.538053;0.008399315;-0.238336165;24.22598467;0.11058356;0
1069.259067;0.006985814;-0.181327073;24.23304968;0.066583218;0
1055.883873;0.006758241;-0.143411482;24.24012108;0.02115698;0
1042.472327;0.003099108;-0.116458249;24.24483557;0.028249617;0
1029.1257;0.001701248;-0.102375243;24.25069504;-0.001466137;0
1015.858833;0.000937308;-0.099565536;24.25603533;-0.001135772;0
1003.26568;0.000988771;-0.103595389;24.26059875;-0.000326426;0
1000;0.000963313;-0.104157105;24.26450529;-0.002096058;0
1000;0.000968683;-0.102505692;24.2682476;-0.003963734;0
1000;0.001030492;-0.102487502;24.27187834;-0.001166968;0
1000;0.000934461;-0.103872592;24.27509003;-0.00185463;0
1000;0.001007825;-0.100496107;24.2778985;-0.001477058;0
1000;0.001030493;-0.103501685;24.28146715;-0.002307594;0
1000;0.001100316;-0.099749598;24.28411121;-0.002192552;0
1000.94372;0.001064521;-0.104986467;24.28681412;-0.003563615;0
1011.290993;0.001123971;-0.10260634;24.28987656;1.52E-05;0
1000;0.000422792;0.000486568;22.02067537;0.001616042;0
1000;0.000370189;-0.00159482;22.02084446;-0.000178198;0
1000;0.000460132;-0.00172659;22.02108622;-0.00046981;0
1000;0.000385919;0.000120328;22.02202425;0.00071369;0
1000;0.000440957;2.98E-05;22.02163935;-0.001040053;0
1000;0.000385988;0.000709202;22.0217557;-0.000320807;0
1000;0.000404713;-0.002187996;22.0223732;-0.000562041;0
1000;0.000396451;0.000457892;22.02261887;-0.001600009;0
1000;0.000447272;0.000734336;22.0225316;-0.000118519;0
1000;0.000432449;-0.000482829;22.02257242;-0.00092864;0
1000;0.000390226;0.00111424;22.02390928;0.001135035;0
1000.105947;0.000447443;0.001709328;22.0238492;0.000800496;0
1008.207227;0.000459222;-5.31E-05;22.02428265;-0.000701744;0
1021.203667;0.000467753;-0.003591838;22.02452736;0.001164188;0
1034.22584;0.000410235;-0.001251071;22.0245924;0.006505248;0
1047.360807;0.001418164;-0.016421917;22.02377348;0.035297856;0
1060.32206;0.004608837;-0.026213442;22.02425699;0.027501342;0
1073.29952;0.003195821;-0.050717191;22.0231451;0.063178813;0
1086.4208;0.002681407;-0.075324203;22.02240734;0.109512247;0
1099.552687;0.004661206;-0.127423644;22.02056274;0.16683976;0
1112.774833;0.00527659;-0.196389597;22.01880102;0.226785584;0
1126.143513;0.00464594;-0.254728647;22.0167222;0.29546893;0
1139.370833;0.003868884;-0.329607328;22.01405592;0.376443689;0
1152.674073;0.003280712;-0.395363033;22.01019812;0.462086769;0
1165.830393;0.001873194;-0.475527698;22.00700083;0.55729522;0
1178.993773;0.000481121;-0.552949946;22.00292015;0.666697344;0
1192.043793;-0.000235942;-0.637385864;21.99839191;0.780202389;0
1205.21898;-0.0023451;-0.722904548;21.9941968;0.912534359;0
1218.386807;-0.004248756;-0.81457119;21.98767872;1.055279601;0
1231.40566;-0.005804576;-0.89434226;21.98276386;1.181960008;0
1244.447427;-0.007752284;-0.986275239;21.97682228;1.323697689;0
1257.519533;-0.008885323;-1.071090133;21.97101831;1.464014712;0
1270.716813;-0.009623236;-1.169043432;21.96475172;1.611204174;0
1283.74342;-0.01089915;-1.256402638;21.95789967;1.766642896;0
1296.764293;-0.012384299;-1.347152766;21.95045452;1.929085532;0
1309.960007;-0.013818536;-1.460865801;21.94116621;2.141754207;0
1322.995247;-0.01599723;-1.59167099;21.92963648;2.394862446;0
1336.09556;-0.017689813;-1.728511118;21.91985302;2.640618381;0
1349.19588;-0.019412558;-1.865396792;21.90783577;2.913147125;0
1362.229907;-0.021651581;-2.0274139;21.89540577;3.2140892;0
1375.490547;-0.023483147;-2.181468379;21.88137465;3.518948183;0
1388.657213;-0.025337666;-2.358810581;21.86772633;3.841192493;0
1401.872487;-0.027857412;-2.545354478;21.85185328;4.185077939;0
1414.831913;-0.029607894;-2.710288119;21.83521299;4.569910559;0
1427.937153;-0.031829961;-2.886735925;21.81779976;4.949836025;0
1440.933973;-0.034237032;-3.073208412;21.79723492;5.409577045;0
1453.866447;-0.036526304;-3.258942627;21.77745962;5.805889997;0
1466.75834;-0.038738255;-3.453871788;21.75498314;6.269541106;0
1479.4188;-0.041030267;-3.643471108;21.73188972;6.735731992;0
1492.10878;-0.043395565;-3.833442094;21.70483427;7.223089013;0
1505.03494;-0.046171411;-4.030467245;21.67607946;7.750406871;0
1517.504027;-0.048262844;-4.223157036;21.64689827;8.244977317;0
1530.188387;-0.050654439;-4.411720638;21.61476841;8.752440104;0
1543.103207;-0.053150582;-4.61512278;21.57658997;9.314771018;0
1555.56418;-0.055628938;-4.794905835;21.53844395;9.88924025;0
1567.816387;-0.057968767;-4.990077901;21.49604025;10.49073733;0
1580.44628;-0.060678781;-5.200160479;21.44978809;11.03190125;0
1593.5704;-0.062973337;-5.422221846;21.39491901;11.7066439;0
1606.51552;-0.064892957;-5.63015202;21.33413887;12.35432428;0
1619.726547;-0.068163188;-5.828915358;21.26596403;13.04585165;0
1632.92364;-0.070342873;-6.043858278;21.19212427;13.71300462;0
1646.144753;-0.072141747;-6.209353074;21.11498089;14.38869055;0
1659.18064;-0.074869907;-6.389831295;21.02928286;15.08147582;0
1672.401533;-0.076464893;-6.573939962;20.94125071;15.74997452;0
1685.32672;-0.078183581;-6.738553856;20.84672432;16.4428243;0
1698.217027;-0.080551376;-6.928393831;20.74505167;17.13755544;0
1710.98654;-0.082025348;-7.076642409;20.64082804;17.78919681;0
